nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date,our_name,full_name,reg_code
1.4588,1.5492,1.56997964,-0.0161855948,2025-03-28,顽岩量化选股1号,顽岩中证500指数增强1号,SSA143
1.4394,1.4394,1.4394,0.0049570621,2026-03-13,红利指增（时间序列红利增强）,时间序列红利增强一号,SSV122
1.4323,1.4323,1.4323,-0.003062574,2026-03-06,红利指增（时间序列红利增强）,时间序列红利增强一号,SSV122
1.4367,1.4367,1.4367,0.016916761,2026-02-27,红利指增（时间序列红利增强）,时间序列红利增强一号,SSV122
1.4128,1.4128,1.4128,-0.0067491564,2026-02-13,红利指增（时间序列红利增强）,时间序列红利增强一号,SSV122
1.4224,1.4224,1.4224,0.0115204096,2026-02-06,红利指增（时间序列红利增强）,时间序列红利增强一号,SSV122
1.4062,1.4062,1.4062,0.0046438523,2026-01-30,红利指增（时间序列红利增强）,时间序列红利增强一号,SSV122
1.3997,1.3997,1.3997,0.0206358466,2026-01-23,红利指增（时间序列红利增强）,时间序列红利增强一号,SSV122
1.3714,1.3714,1.3714,-0.0034878651,2026-01-16,红利指增（时间序列红利增强）,时间序列红利增强一号,SSV122
1.3762,1.3762,1.3762,0.0156457565,2026-01-09,红利指增（时间序列红利增强）,时间序列红利增强一号,SSV122
1.355,1.355,1.355,0.0005907547,2025-12-31,红利指增（时间序列红利增强）,时间序列红利增强一号,SSV122
1.3542,1.3542,1.3542,0.0058679343,2025-12-26,红利指增（时间序列红利增强）,时间序列红利增强一号,SSV122
1.3463,1.3463,1.3463,0.0178422923,2025-12-19,红利指增（时间序列红利增强）,时间序列红利增强一号,SSV122
1.3227,1.3227,1.3227,-0.0144549586,2025-12-12,红利指增（时间序列红利增强）,时间序列红利增强一号,SSV122
1.3421,1.3421,1.3421,0.0113028408,2025-12-05,红利指增（时间序列红利增强）,时间序列红利增强一号,SSV122
1.3271,1.3271,1.3271,0.0142922654,2025-11-28,红利指增（时间序列红利增强）,时间序列红利增强一号,SSV122
1.3084,1.3084,1.3084,-0.0444054923,2025-11-21,红利指增（时间序列红利增强）,时间序列红利增强一号,SSV122
1.3692,1.3692,1.3692,0.0115995567,2025-11-14,红利指增（时间序列红利增强）,时间序列红利增强一号,SSV122
1.3535,1.3535,1.3535,0.0215865348,2025-11-07,红利指增（时间序列红利增强）,时间序列红利增强一号,SSV122
1.3249,1.3249,1.3249,0.0042446752,2025-10-31,红利指增（时间序列红利增强）,时间序列红利增强一号,SSV122
1.3193,1.3193,1.3193,0.0147680948,2025-10-24,红利指增（时间序列红利增强）,时间序列红利增强一号,SSV122
1.3001,1.3001,1.3001,0.0068928129,2025-10-17,红利指增（时间序列红利增强）,时间序列红利增强一号,SSV122
1.2912,1.2912,1.2912,0.0153338051,2025-10-10,红利指增（时间序列红利增强）,时间序列红利增强一号,SSV122
1.2717,1.2717,1.2717,0.0076862124,2025-09-30,红利指增（时间序列红利增强）,时间序列红利增强一号,SSV122
1.262,1.262,1.262,0.0056578213,2025-09-26,红利指增（时间序列红利增强）,时间序列红利增强一号,SSV122
1.2549,1.2549,1.2549,-0.0118897638,2025-09-19,红利指增（时间序列红利增强）,时间序列红利增强一号,SSV122
1.27,1.27,1.27,0.0149444578,2025-09-12,红利指增（时间序列红利增强）,时间序列红利增强一号,SSV122
1.2513,1.2513,1.2513,-0.0003994248,2025-09-05,红利指增（时间序列红利增强）,时间序列红利增强一号,SSV122
1.2518,1.2518,1.2518,-0.0041368337,2025-08-29,红利指增（时间序列红利增强）,时间序列红利增强一号,SSV122
1.257,1.257,1.257,0.0163324709,2025-08-22,红利指增（时间序列红利增强）,时间序列红利增强一号,SSV122
1.2368,1.2368,1.2368,0.0050381928,2025-08-15,红利指增（时间序列红利增强）,时间序列红利增强一号,SSV122
1.2306,1.2306,1.2306,0.0209059233,2025-08-08,红利指增（时间序列红利增强）,时间序列红利增强一号,SSV122
1.2054,1.2054,1.2054,0.0045837153,2025-08-01,红利指增（时间序列红利增强）,时间序列红利增强一号,SSV122
1.1999,1.1999,1.1999,-0.0175223123,2025-07-31,红利指增（时间序列红利增强）,时间序列红利增强一号,SSV122
1.2213,1.2213,1.2213,0.0226930162,2025-07-25,红利指增（时间序列红利增强）,时间序列红利增强一号,SSV122
1.1942,1.1942,1.1942,0.0029394474,2025-07-18,红利指增（时间序列红利增强）,时间序列红利增强一号,SSV122
1.1907,1.1907,1.1907,0.0113819757,2025-07-11,红利指增（时间序列红利增强）,时间序列红利增强一号,SSV122
1.1773,1.1773,1.1773,0.0150888084,2025-07-04,红利指增（时间序列红利增强）,时间序列红利增强一号,SSV122
1.1598,1.1598,1.1598,0.0045037242,2025-06-30,红利指增（时间序列红利增强）,时间序列红利增强一号,SSV122
1.1546,1.1546,1.1546,0.0211373485,2025-06-27,红利指增（时间序列红利增强）,时间序列红利增强一号,SSV122
1.1307,1.1307,1.1307,-0.0111937035,2025-06-20,红利指增（时间序列红利增强）,时间序列红利增强一号,SSV122
1.1435,1.1435,1.1435,-0.0010483096,2025-06-13,红利指增（时间序列红利增强）,时间序列红利增强一号,SSV122
1.1447,1.1447,1.1447,0.0100591194,2025-06-06,红利指增（时间序列红利增强）,时间序列红利增强一号,SSV122
1.1333,1.1333,1.1333,0.0098013009,2025-05-30,红利指增（时间序列红利增强）,时间序列红利增强一号,SSV122
1.1223,1.1223,1.1223,0.0045649839,2025-05-23,红利指增（时间序列红利增强）,时间序列红利增强一号,SSV122
1.1172,1.1172,1.1172,0.0122315847,2025-05-16,红利指增（时间序列红利增强）,时间序列红利增强一号,SSV122
1.1037,1.1037,1.1037,0.022417786,2025-05-09,红利指增（时间序列红利增强）,时间序列红利增强一号,SSV122
1.0795,1.0795,1.0795,-0.0113563513,2025-04-30,红利指增（时间序列红利增强）,时间序列红利增强一号,SSV122
1.0919,1.0919,1.0919,0.0203719279,2025-04-25,红利指增（时间序列红利增强）,时间序列红利增强一号,SSV122
1.0701,1.0701,1.0701,0.0165289256,2025-04-18,红利指增（时间序列红利增强）,时间序列红利增强一号,SSV122
1.0527,1.0527,1.0527,-0.0436954942,2025-04-11,红利指增（时间序列红利增强）,时间序列红利增强一号,SSV122
1.1008,1.1008,1.1008,0.0095377843,2025-04-03,红利指增（时间序列红利增强）,时间序列红利增强一号,SSV122
1.0904,1.0904,1.0904,-0.0045645426,2025-03-31,红利指增（时间序列红利增强）,时间序列红利增强一号,SSV122
1.0954,1.0954,1.0954,-0.0020952902,2025-03-28,红利指增（时间序列红利增强）,时间序列红利增强一号,SSV122
1.1598,1.7246,1.8645026,-0.0162015438,2026-03-13,转债多头集中类（赢仕安盈）,赢仕安盈二号,SLQ349
1.1789,1.7437,1.8952079,-0.0175833333,2026-03-06,转债多头集中类（赢仕安盈）,赢仕安盈二号,SLQ349
1.2,1.7648,1.9291284,-0.0022196764,2026-02-27,转债多头集中类（赢仕安盈）,赢仕安盈二号,SLQ349
1.3966,1.7679,1.93341997,0.010345077,2026-02-13,转债多头集中类（赢仕安盈）,赢仕安盈二号,SLQ349
1.3823,1.7536,1.91362339,0.0065535571,2026-02-06,转债多头集中类（赢仕安盈）,赢仕安盈二号,SLQ349
1.3733,1.7446,1.901164,-0.023257468,2026-01-30,转债多头集中类（赢仕安盈）,赢仕安盈二号,SLQ349
1.406,1.7773,1.94643311,0.0292825769,2026-01-23,转债多头集中类（赢仕安盈）,赢仕安盈二号,SLQ349
1.366,1.7373,1.89105806,0.0040426314,2026-01-16,转债多头集中类（赢仕安盈）,赢仕安盈二号,SLQ349
1.3605,1.7318,1.88344399,0.0467800262,2026-01-09,转债多头集中类（赢仕安盈）,赢仕安盈二号,SLQ349
1.2997,1.671,1.79927391,0.003319438,2025-12-31,转债多头集中类（赢仕安盈）,赢仕安盈二号,SLQ349
1.2954,1.6667,1.79332109,0.0150446638,2025-12-26,转债多头集中类（赢仕安盈）,赢仕安盈二号,SLQ349
1.2762,1.6475,1.76674106,0.0224323025,2025-12-19,转债多头集中类（赢仕安盈）,赢仕安盈二号,SLQ349
1.2482,1.6195,1.72797852,-0.0070007955,2025-12-12,转债多头集中类（赢仕安盈）,赢仕安盈二号,SLQ349
1.257,1.6283,1.74016104,-0.0003976143,2025-12-05,转债多头集中类（赢仕安盈）,赢仕安盈二号,SLQ349
1.2575,1.6288,1.74085322,0.0031110402,2025-11-28,转债多头集中类（赢仕安盈）,赢仕安盈二号,SLQ349
1.2536,1.6249,1.73545416,-0.0276140242,2025-11-21,转债多头集中类（赢仕安盈）,赢仕安盈二号,SLQ349
