ts_code,name,pct_change,amount,trade_date
801050.SI,有色金属,0.27,18692615.0,20260120
801080.SI,电子,-1.23,48508110.0,20260120
801110.SI,家用电器,0.63,4743089.0,20260120
801120.SI,食品饮料,0.38,3238185.0,20260120
801130.SI,纺织服饰,0.1,1500071.0,20260120
801140.SI,轻工制造,0.53,2729949.0,20260120
801150.SI,医药生物,-0.82,11072905.0,20260120
801160.SI,公用事业,0.84,5417976.0,20260120
801170.SI,交通运输,1.25,3101612.0,20260120
801180.SI,房地产,1.55,3518843.0,20260120
801200.SI,商贸零售,0.61,4258311.0,20260120
801210.SI,社会服务,0.01,2306351.0,20260120
801230.SI,综合,-1.87,464905.0,20260120
801710.SI,建筑材料,1.71,2778991.0,20260120
801720.SI,建筑装饰,1.24,5394577.0,20260120
801730.SI,电力设备,-1.84,36132773.0,20260120
801740.SI,国防军工,-2.87,16445029.0,20260120
801750.SI,计算机,-1.94,18692451.0,20260120
801760.SI,传媒,-0.32,9557887.0,20260120
801770.SI,通信,-3.23,14190557.0,20260120
801780.SI,银行,0.8,3110802.0,20260120
801790.SI,非银金融,0.37,5530158.0,20260120
801880.SI,汽车,-0.98,12220221.0,20260120
801890.SI,机械设备,-1.35,18640891.0,20260120
801950.SI,煤炭,0.78,1291583.0,20260120
801960.SI,石油石化,1.74,1847124.0,20260120
801970.SI,环保,0.45,2221390.0,20260120
801980.SI,美容护理,0.75,641751.0,20260120
801010.SI,农林牧渔,-0.72,2432472.0,20260121
801030.SI,基础化工,0.84,14476091.0,20260121
801040.SI,钢铁,1.39,1639603.0,20260121
801050.SI,有色金属,2.79,19530351.0,20260121
801080.SI,电子,2.62,53279888.0,20260121
801110.SI,家用电器,-0.53,4039301.0,20260121
801120.SI,食品饮料,-1.53,3566804.0,20260121
801130.SI,纺织服饰,0.88,1484620.0,20260121
801140.SI,轻工制造,0.54,2560014.0,20260121
801150.SI,医药生物,0.13,10497323.0,20260121
801160.SI,公用事业,-0.8,4794200.0,20260121
801170.SI,交通运输,-0.77,2318260.0,20260121
801180.SI,房地产,0.63,3274295.0,20260121
801200.SI,商贸零售,-1.07,3331837.0,20260121
801210.SI,社会服务,-0.04,1881637.0,20260121
801230.SI,综合,0.31,526691.0,20260121
801710.SI,建筑材料,1.35,2475184.0,20260121
801720.SI,建筑装饰,-0.34,4511355.0,20260121
801730.SI,电力设备,0.21,28259765.0,20260121
801740.SI,国防军工,-0.06,12539991.0,20260121
801750.SI,计算机,0.67,17249499.0,20260121
801760.SI,传媒,-0.31,8851782.0,20260121
801770.SI,通信,0.84,12276084.0,20260121
801780.SI,银行,-1.58,3556611.0,20260121
801790.SI,非银金融,-0.78,5218568.0,20260121
801880.SI,汽车,0.93,11540995.0,20260121
801890.SI,机械设备,1.5,18170104.0,20260121
801950.SI,煤炭,-1.57,1132443.0,20260121
801960.SI,石油石化,0.86,1977381.0,20260121
801970.SI,环保,0.34,1921418.0,20260121
801980.SI,美容护理,0.37,583403.0,20260121
801010.SI,农林牧渔,0.23,2364823.0,20260122
801030.SI,基础化工,1.2,14346255.0,20260122
801040.SI,钢铁,1.81,2100113.0,20260122
801050.SI,有色金属,-0.37,18104076.0,20260122
801080.SI,电子,0.21,55565449.0,20260122
801110.SI,家用电器,-0.22,4058207.0,20260122
801120.SI,食品饮料,-0.28,3083974.0,20260122
801130.SI,纺织服饰,0.78,1583433.0,20260122
801140.SI,轻工制造,1.13,2860316.0,20260122
801150.SI,医药生物,-0.42,9770284.0,20260122
801160.SI,公用事业,0.44,4981011.0,20260122
801170.SI,交通运输,0.32,2426547.0,20260122
801180.SI,房地产,0.73,3080356.0,20260122
801200.SI,商贸零售,0.71,3108559.0,20260122
801210.SI,社会服务,0.58,1740901.0,20260122
801230.SI,综合,1.21,488931.0,20260122
801710.SI,建筑材料,4.09,3204871.0,20260122
801720.SI,建筑装饰,0.47,5106944.0,20260122
801730.SI,电力设备,-0.11,27965155.0,20260122
801740.SI,国防军工,3.23,16807466.0,20260122
801750.SI,计算机,0.94,18352506.0,20260122
801760.SI,传媒,0.87,8604138.0,20260122
801770.SI,通信,2.83,14645453.0,20260122
801780.SI,银行,-0.43,3645410.0,20260122
801790.SI,非银金融,-0.37,5232881.0,20260122
801880.SI,汽车,-0.33,11190155.0,20260122
801890.SI,机械设备,0.15,17921190.0,20260122
801950.SI,煤炭,1.85,1401534.0,20260122
801960.SI,石油石化,3.07,2844415.0,20260122
801970.SI,环保,1.12,2005356.0,20260122
801980.SI,美容护理,-0.76,462572.0,20260122
801010.SI,农林牧渔,0.57,2436722.0,20260123
801030.SI,基础化工,1.21,15432469.0,20260123
801040.SI,钢铁,2.5,2069496.0,20260123
801050.SI,有色金属,2.73,22782224.0,20260123
801080.SI,电子,0.31,55114534.0,20260123
801110.SI,家用电器,-0.71,5060715.0,20260123
801120.SI,食品饮料,-0.09,3367043.0,20260123
801130.SI,纺织服饰,1.53,1907852.0,20260123
801140.SI,轻工制造,0.77,2801968.0,20260123
801150.SI,医药生物,1.26,12905386.0,20260123
801160.SI,公用事业,0.3,5824116.0,20260123
801170.SI,交通运输,-0.32,2888531.0,20260123
801180.SI,房地产,1.11,2973556.0,20260123
801200.SI,商贸零售,0.49,3712252.0,20260123
801210.SI,社会服务,0.99,1904755.0,20260123
801230.SI,综合,1.04,583651.0,20260123
801710.SI,建筑材料,0.2,3337377.0,20260123
801720.SI,建筑装饰,0.49,5068882.0,20260123
801730.SI,电力设备,3.5,36511441.0,20260123
801740.SI,国防军工,2.65,20155943.0,20260123
801750.SI,计算机,1.64,20992441.0,20260123
801760.SI,传媒,2.01,10980207.0,20260123
801770.SI,通信,-1.52,16300019.0,20260123
801780.SI,银行,-0.9,3625241.0,20260123
801790.SI,非银金融,-0.49,6492577.0,20260123
801880.SI,汽车,1.2,13317482.0,20260123
801890.SI,机械设备,1.31,22802122.0,20260123
801950.SI,煤炭,-0.76,1228887.0,20260123
801960.SI,石油石化,-0.23,2853362.0,20260123
801970.SI,环保,1.58,2435254.0,20260123
801980.SI,美容护理,0.77,553055.0,20260123
801010.SI,农林牧渔,0.85,3463701.0,20260126
801030.SI,基础化工,-0.45,16188535.0,20260126
801040.SI,钢铁,0.17,2379762.0,20260126
801050.SI,有色金属,4.57,29115036.0,20260126
801080.SI,电子,-2.24,50172354.0,20260126
801110.SI,家用电器,-1.68,4672568.0,20260126
801120.SI,食品饮料,-0.44,4343575.0,20260126
801130.SI,纺织服饰,-0.7,2292217.0,20260126
801140.SI,轻工制造,-1.22,2782315.0,20260126
801150.SI,医药生物,0.29,17344447.0,20260126
801160.SI,公用事业,-0.19,5861013.0,20260126
801170.SI,交通运输,-0.26,3577663.0,20260126
801180.SI,房地产,-2.23,2947223.0,20260126
801200.SI,商贸零售,-1.93,3587017.0,20260126
801210.SI,社会服务,-2.3,2087968.0,20260126
801230.SI,综合,-0.4,748226.0,20260126
801710.SI,建筑材料,-0.68,2884865.0,20260126
801720.SI,建筑装饰,0.16,6047547.0,20260126
801730.SI,电力设备,-1.42,39236644.0,20260126
801740.SI,国防军工,-4.47,17341635.0,20260126
801750.SI,计算机,-2.01,22098797.0,20260126
801760.SI,传媒,-1.76,10785967.0,20260126
801770.SI,通信,0.3,16386032.0,20260126
801780.SI,银行,0.44,4456971.0,20260126
801790.SI,非银金融,0.79,9207527.0,20260126
801880.SI,汽车,-2.31,13396737.0,20260126
801890.SI,机械设备,-1.55,22992560.0,20260126
801950.SI,煤炭,2.07,1753078.0,20260126
801960.SI,石油石化,3.18,3550847.0,20260126
801970.SI,环保,-0.7,2437973.0,20260126
801980.SI,美容护理,-0.87,576896.0,20260126
801010.SI,农林牧渔,-1.95,2798325.0,20260127
801030.SI,基础化工,-0.62,14417747.0,20260127
801040.SI,钢铁,-1.34,2170528.0,20260127
801050.SI,有色金属,-0.43,30237147.0,20260127
801080.SI,电子,2.27,51530197.0,20260127
801110.SI,家用电器,-0.18,3668271.0,20260127
801120.SI,食品饮料,-0.87,3262869.0,20260127
801130.SI,纺织服饰,-0.71,1964847.0,20260127
801140.SI,轻工制造,-0.4,2327516.0,20260127
801150.SI,医药生物,-1.11,15254149.0,20260127
801160.SI,公用事业,-0.79,4780555.0,20260127
801170.SI,交通运输,-0.82,2793522.0,20260127
801180.SI,房地产,-0.93,2375670.0,20260127
801200.SI,商贸零售,-0.9,2940645.0,20260127
801210.SI,社会服务,-0.34,1720120.0,20260127
801230.SI,综合,0.23,599718.0,20260127
801710.SI,建筑材料,-0.43,2268217.0,20260127
801720.SI,建筑装饰,-0.81,4844219.0,20260127
801730.SI,电力设备,-0.54,33324779.0,20260127
801740.SI,国防军工,1.65,13684704.0,20260127
801750.SI,计算机,0.15,18723423.0,20260127
801760.SI,传媒,0.48,9975458.0,20260127
801770.SI,通信,2.15,16286172.0,20260127
801780.SI,银行,-0.08,3882157.0,20260127
801790.SI,非银金融,-0.18,6745150.0,20260127
801880.SI,汽车,0.03,10437802.0,20260127
801890.SI,机械设备,0.64,19677689.0,20260127
801950.SI,煤炭,-2.27,1348303.0,20260127
801960.SI,石油石化,-0.61,2862327.0,20260127
801970.SI,环保,-0.58,2014602.0,20260127
801980.SI,美容护理,-1.22,501208.0,20260127
801010.SI,农林牧渔,0.84,3567071.0,20260128
801030.SI,基础化工,1.44,15455057.0,20260128
801040.SI,钢铁,2.16,2377517.0,20260128
801050.SI,有色金属,5.92,33015031.0,20260128
801080.SI,电子,0.42,54613392.0,20260128
801110.SI,家用电器,-1.47,3475951.0,20260128
801120.SI,食品饮料,-0.68,3744194.0,20260128
801130.SI,纺织服饰,1.46,1999424.0,20260128
801140.SI,轻工制造,-0.35,2299099.0,20260128
801150.SI,医药生物,-1.56,12572943.0,20260128
801160.SI,公用事业,-0.39,4796650.0,20260128
801170.SI,交通运输,-0.42,3267717.0,20260128
801180.SI,房地产,0.84,2411403.0,20260128
801200.SI,商贸零售,-0.29,2762986.0,20260128
801210.SI,社会服务,-0.94,1461096.0,20260128
801230.SI,综合,-2.53,655586.0,20260128
801710.SI,建筑材料,2.18,2920316.0,20260128
801720.SI,建筑装饰,-0.22,6454314.0,20260128
801730.SI,电力设备,-0.97,27924635.0,20260128
