基金代码,基金名称,基金公司,固收+类型,股票仓位(%),债券贡献(%),加的贡献(%),90天规模变化(%),易方达/鹏华
022577.OF,鹏华信用增利D,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022574.OF,鹏华丰达D,鹏华基金,纯债/其他,0.0,0,0,0.0,是
021720.OF,鹏华中债0-3年政策性金融债A,鹏华基金,纯债/其他,0.0,0,0,0.0,是
021721.OF,鹏华中债0-3年政策性金融债C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022510.OF,鹏华丰盛稳固收益A,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022511.OF,鹏华丰盛稳固收益D,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022477.OF,鹏华丰顺C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022193.OF,鹏华安诚D,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022194.OF,鹏华安诚E,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022190.OF,鹏华金城灵活配置C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022189.OF,鹏华金城灵活配置A,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022359.OF,易方达7-10年国开行D,易方达基金,纯债/其他,0.0,0,0,0.0,是
022371.OF,鹏华弘泰D,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022373.OF,鹏华金享C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022370.OF,鹏华安益增强C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022369.OF,鹏华安益增强A,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022282.OF,鹏华弘华E,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022267.OF,鹏华中债-0-3年AA+优选信用债指数D,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022284.OF,鹏华弘信E,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022283.OF,鹏华安泽E,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022281.OF,鹏华弘润E,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022263.OF,鹏华丰诚B,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022285.OF,鹏华弘实E,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022280.OF,鹏华纯债A,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022264.OF,鹏华丰诚E,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022256.OF,鹏华丰鑫C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022257.OF,鹏华丰鑫D,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022273.OF,鹏华丰和E,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022261.OF,鹏华丰利D,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022260.OF,鹏华丰利E,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022233.OF,鹏华双债增利D,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022259.OF,鹏华弘盛E,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022232.OF,鹏华双债保利A,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022258.OF,鹏华弘尚E,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022226.OF,鹏华双债加利D,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022227.OF,鹏华丰瑞D,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022248.OF,鹏华弘达E,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022220.OF,鹏华丰盈D,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022235.OF,鹏华稳瑞中短债C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022236.OF,鹏华稳瑞中短债E,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022221.OF,鹏华稳健增利E,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022186.OF,鹏华中债1-3年农发行D,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022207.OF,鹏华丰恒B,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022185.OF,鹏华1-3年国开债D,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022188.OF,鹏华丰泽A,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022161.OF,鹏华安惠E,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022163.OF,鹏华稳利短债D,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022156.OF,鹏华可转债D,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022142.OF,鹏华金利D,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022131.OF,鹏华普利E,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022132.OF,鹏华中债3-5年国开行D,鹏华基金,纯债/其他,0.0,0,0,0.0,是
021424.OF,易方达悦丰稳健C,易方达基金,纯债/其他,0.0,0,0,0.0,是
021423.OF,易方达悦丰稳健A,易方达基金,纯债/其他,0.0,0,0,0.0,是
022118.OF,鹏华丰玉E,鹏华基金,纯债/其他,0.0,0,0,0.0,是
020420.OF,鹏华科技驱动C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
020419.OF,鹏华科技驱动A,鹏华基金,纯债/其他,0.0,0,0,0.0,是
021179.OF,易方达产业机遇A,易方达基金,纯债/其他,0.0,0,0,0.0,是
021180.OF,易方达产业机遇C,易方达基金,纯债/其他,0.0,0,0,0.0,是
020885.OF,鹏华成长先锋C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
020884.OF,鹏华成长先锋A,鹏华基金,纯债/其他,0.0,0,0,0.0,是
021898.OF,易方达汇享稳健养老一年持有Y,易方达基金,纯债/其他,0.0,0,0,0.0,是
020801.OF,易方达红利A,易方达基金,纯债/其他,0.0,0,0,0.0,是
020802.OF,易方达红利C,易方达基金,纯债/其他,0.0,0,0,0.0,是
021606.OF,易方达中债新综合D,易方达基金,纯债/其他,0.0,0,0,0.0,是
019602.OF,鹏华精新添利A,鹏华基金,纯债/其他,0.0,0,0,0.0,是
019603.OF,鹏华精新添利C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
021325.OF,易方达中债1-5年政策性金融债A,易方达基金,纯债/其他,0.0,0,0,0.0,是
021326.OF,易方达中债1-5年政策性金融债C,易方达基金,纯债/其他,0.0,0,0,0.0,是
021309.OF,鹏华创新医药C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
021308.OF,鹏华创新医药A,鹏华基金,纯债/其他,0.0,0,0,0.0,是
020037.OF,鹏华品质甄选A,鹏华基金,纯债/其他,0.0,0,0,0.0,是
020038.OF,鹏华品质甄选C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
021504.OF,易方达养老目标日期2045五年持有Y,易方达基金,纯债/其他,0.0,0,0,0.0,是
021498.OF,易方达汇悦平衡养老目标三年持有Y,易方达基金,纯债/其他,0.0,0,0,0.0,是
020087.OF,鹏华智投数字经济C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
020086.OF,鹏华智投数字经济A,鹏华基金,纯债/其他,0.0,0,0,0.0,是
020421.OF,鹏华永兴,鹏华基金,纯债/其他,0.0,0,0,0.0,是
