基金代码,基金名称,基金公司,基金类型,投资类型,股票仓位(%),3个月收益(%),6个月收益(%),9个月收益(%),重点管理人
020181.OF,长城智盈添益A,长城基金,债券型,债券型,0.0,0.0,0.0,0.0,否
020203.OF,贝莱德安睿30天持有C,贝莱德基金,债券型,债券型,0.0,0.0,0.0,0.0,否
020455.OF,大成安汇金融D,大成基金,债券型,债券型,0.0,0.0,0.0,0.0,否
020202.OF,贝莱德安睿30天持有A,贝莱德基金,债券型,债券型,0.0,0.0,0.0,0.0,否
020344.OF,交银裕盈纯债D,交银施罗德基金,债券型,债券型,0.0,0.0,0.0,0.0,否
020413.OF,中信保诚稳泰D,中信保诚基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019668.OF,中航瑞安利率债三个月定开A,中航基金,债券型,债券型,0.0,0.0,0.0,0.0,否
020340.OF,华泰柏瑞祥泰稳健养老目标一年持有Y,华泰柏瑞基金,混合型,混合型,0.0,0.0,0.0,0.0,否
020414.OF,中信保诚优质纯债I,中信保诚基金,债券型,债券型,0.0,0.0,0.0,0.0,否
020144.OF,银华致淳,银华基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019669.OF,中航瑞安利率债三个月定开C,中航基金,债券型,债券型,0.0,0.0,0.0,0.0,否
020378.OF,大成景优D,大成基金,债券型,债券型,0.0,0.0,0.0,0.0,否
020297.OF,民生加银瑞怡3个月定开,民生加银基金,债券型,债券型,0.0,0.0,0.0,0.0,否
020349.OF,富国安恒60天持有E,富国基金,债券型,债券型,0.0,0.0,0.0,0.0,否
020363.OF,交银丰晟收益D,交银施罗德基金,债券型,债券型,0.0,0.0,0.0,0.0,否
020060.OF,鹏扬淳旭A,鹏扬基金,债券型,债券型,0.0,0.0,0.0,0.0,否
020061.OF,鹏扬淳旭C,鹏扬基金,债券型,债券型,0.0,0.0,0.0,0.0,否
020369.OF,大成景泰D,大成基金,债券型,债券型,0.0,0.0,0.0,0.0,否
018925.OF,南方金添利三年定开C,南方基金,债券型,债券型,0.0,0.0,0.0,0.0,否
018924.OF,南方金添利三年定开A,南方基金,债券型,债券型,0.0,0.0,0.0,0.0,否
020319.OF,鹏扬淳合D,鹏扬基金,债券型,债券型,0.0,0.7116068852774271,0.0,0.0,否
019940.OF,长信120天滚动持有C,长信基金,债券型,债券型,0.0,0.0,0.0,0.0,否
020238.OF,博时锦源利率债A,博时基金,债券型,债券型,0.0,0.0,0.0,0.0,否
020200.OF,广发理财年年红C,广发基金,债券型,债券型,0.0,0.37001897533206485,0.0,0.0,否
019489.OF,景顺长城景泰通利纯债A,景顺长城基金,债券型,债券型,0.0,0.0,1.445198836081496,0.0,否
019939.OF,长信120天滚动持有A,长信基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019980.OF,博时中高等级信用债C,博时基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019979.OF,博时中高等级信用债A,博时基金,债券型,债券型,0.0,0.0,0.0,0.0,否
020239.OF,博时锦源利率债C,博时基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019262.OF,中信保诚嘉盛三个月定开A,中信保诚基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019490.OF,景顺长城景泰通利纯债C,景顺长城基金,债券型,债券型,0.0,0.0,1.4067103887463128,0.0,否
