日期,高拥挤Top6等权%,低拥挤Bot6等权%,高-低轧差%,轧差净值,Top6行业,Bottom6行业
01/15,-1.0416666666666667,-0.42666666666666664,-0.6150000000000001,0.9938641934115373,"美容护理, 综合, 煤炭, 钢铁, 石油石化, 纺织服饰","电子, 电力设备, 机械设备, 计算机, 国防军工, 通信"
01/16,-1.1816666666666666,-0.0033333333333332993,-1.1783333333333332,0.9821531603325047,"美容护理, 综合, 煤炭, 钢铁, 石油石化, 纺织服饰","电子, 电力设备, 计算机, 机械设备, 国防军工, 有色金属"
01/19,1.135,0.4583333333333333,0.6766666666666667,0.9887990633840879,"美容护理, 综合, 煤炭, 钢铁, 石油石化, 纺织服饰","电子, 电力设备, 计算机, 机械设备, 国防军工, 有色金属"
01/20,0.3283333333333333,-1.4933333333333334,1.8216666666666668,1.0068116863220682,"美容护理, 综合, 煤炭, 钢铁, 石油石化, 纺织服饰","电子, 电力设备, 计算机, 机械设备, 国防军工, 有色金属"
01/21,0.3733333333333333,1.2883333333333333,-0.915,0.9975993593922212,"美容护理, 综合, 煤炭, 钢铁, 石油石化, 纺织服饰","电子, 电力设备, 计算机, 机械设备, 国防军工, 有色金属"
01/22,1.3266666666666667,0.6749999999999999,0.6516666666666667,1.0041003818842607,"美容护理, 综合, 煤炭, 钢铁, 纺织服饰, 石油石化","电子, 电力设备, 计算机, 机械设备, 国防军工, 有色金属"
01/23,0.8083333333333333,2.0233333333333334,-1.215,0.9919005622443668,"美容护理, 综合, 煤炭, 钢铁, 纺织服饰, 石油石化","电子, 电力设备, 计算机, 机械设备, 国防军工, 有色金属"
01/26,0.575,-1.1866666666666665,1.7616666666666665,1.009374543815905,"美容护理, 综合, 煤炭, 钢铁, 纺织服饰, 石油石化","电子, 电力设备, 计算机, 机械设备, 国防军工, 有色金属"
01/27,-0.9866666666666667,0.6233333333333333,-1.6099999999999999,0.9931236136604689,"美容护理, 综合, 煤炭, 钢铁, 纺织服饰, 石油石化","电子, 电力设备, 计算机, 机械设备, 国防军工, 有色金属"
01/28,0.32000000000000006,0.27,0.050000000000000044,0.9936201754672991,"美容护理, 综合, 煤炭, 钢铁, 纺织服饰, 社会服务","电子, 电力设备, 计算机, 机械设备, 有色金属, 国防军工"
01/29,0.04833333333333335,-1.2033333333333334,1.2516666666666667,1.0060569879968981,"美容护理, 综合, 煤炭, 纺织服饰, 钢铁, 社会服务","电子, 电力设备, 计算机, 机械设备, 有色金属, 国防军工"
01/30,-0.8533333333333334,-1.8183333333333334,0.965,1.015765437931068,"美容护理, 综合, 煤炭, 纺织服饰, 钢铁, 社会服务","电子, 电力设备, 计算机, 有色金属, 机械设备, 国防军工"
02/02,-3.288333333333333,-3.131666666666667,-0.1566666666666663,1.0141740720783095,"美容护理, 综合, 煤炭, 纺织服饰, 钢铁, 社会服务","电子, 电力设备, 计算机, 有色金属, 机械设备, 国防军工"
02/03,2.513333333333333,3.2800000000000002,-0.766666666666667,1.006398737525709,"美容护理, 综合, 煤炭, 纺织服饰, 钢铁, 社会服务","电子, 电力设备, 计算机, 有色金属, 机械设备, 国防军工"
02/04,1.9883333333333333,-0.03833333333333332,2.0266666666666664,1.0267950852728969,"美容护理, 综合, 煤炭, 纺织服饰, 钢铁, 社会服务","电子, 电力设备, 计算机, 有色金属, 机械设备, 国防军工"
02/05,-0.11500000000000003,-2.1766666666666667,2.0616666666666665,1.0479641772809398,"美容护理, 综合, 煤炭, 纺织服饰, 钢铁, 社会服务","电子, 电力设备, 计算机, 有色金属, 机械设备, 国防军工"
02/06,-0.43,-0.15833333333333333,-0.27166666666666667,1.0451172079326598,"综合, 美容护理, 煤炭, 纺织服饰, 钢铁, 社会服务","电子, 电力设备, 有色金属, 计算机, 机械设备, 通信"
02/09,1.8183333333333334,2.9983333333333335,-1.1800000000000002,1.0327848248790543,"综合, 美容护理, 煤炭, 纺织服饰, 钢铁, 社会服务","电子, 电力设备, 有色金属, 计算机, 机械设备, 通信"
02/10,0.42833333333333334,0.06666666666666668,0.3616666666666667,1.0365200633290335,"综合, 美容护理, 煤炭, 纺织服饰, 钢铁, 社会服务","电子, 电力设备, 有色金属, 计算机, 机械设备, 通信"
02/11,0.22999999999999998,-0.30166666666666664,0.5316666666666666,1.0420308949990662,"综合, 美容护理, 煤炭, 纺织服饰, 钢铁, 社会服务","电子, 电力设备, 有色金属, 计算机, 机械设备, 通信"
02/12,0.28333333333333327,1.4633333333333334,-1.1800000000000002,1.0297349304380772,"综合, 美容护理, 煤炭, 纺织服饰, 钢铁, 社会服务","电子, 电力设备, 有色金属, 计算机, 机械设备, 通信"
02/13,-0.7816666666666666,-1.4883333333333333,0.7066666666666667,1.0370117239465064,"综合, 美容护理, 煤炭, 纺织服饰, 社会服务, 钢铁","电子, 电力设备, 有色金属, 机械设备, 计算机, 通信"
02/24,1.1966666666666668,1.4466666666666668,-0.25,1.0344191946366401,"综合, 美容护理, 煤炭, 社会服务, 纺织服饰, 钢铁","电子, 电力设备, 有色金属, 机械设备, 计算机, 通信"
