trade_date,ts_code,close,pct_chg
20250825,000922.CSI,5640.4806,0.7336
20250826,000922.CSI,5634.0366,-0.1142
20250827,000922.CSI,5532.4293,-1.8035
20250828,000922.CSI,5544.1885,0.2126
20250829,000922.CSI,5538.0382,-0.1109
20250901,000922.CSI,5524.751,-0.2399
20250902,000922.CSI,5542.1747,0.3154
20250903,000922.CSI,5495.4712,-0.8427
20250904,000922.CSI,5493.0759,-0.0436
20250905,000922.CSI,5510.0368,0.3088
20250908,000922.CSI,5552.5865,0.7722
20250909,000922.CSI,5565.0272,0.2241
20250910,000922.CSI,5537.7853,-0.4895
20250911,000922.CSI,5559.8135,0.3978
20250912,000922.CSI,5529.9497,-0.5371
20250915,000922.CSI,5511.138,-0.3402
20250916,000922.CSI,5508.9665,-0.0394
20250917,000922.CSI,5522.2891,0.2418
20250918,000922.CSI,5424.126,-1.7776
20250919,000922.CSI,5468.7315,0.8224
20250922,000922.CSI,5434.0415,-0.6343
20250923,000922.CSI,5454.0584,0.3684
20250924,000922.CSI,5467.0362,0.2379
20250925,000922.CSI,5440.5069,-0.4853
20250926,000922.CSI,5455.0131,0.2666
20250929,000922.CSI,5474.3919,0.3552
20250930,000922.CSI,5461.0845,-0.2431
20251009,000922.CSI,5502.3826,0.7562
20251010,000922.CSI,5559.0517,1.0299
20251013,000922.CSI,5534.3194,-0.4449
20251014,000922.CSI,5596.2901,1.1198
20251015,000922.CSI,5620.1955,0.4272
20251016,000922.CSI,5639.6007,0.3453
20251017,000922.CSI,5596.3198,-0.7674
20251020,000922.CSI,5637.9361,0.7436
20251021,000922.CSI,5640.3589,0.043
20251022,000922.CSI,5645.9038,0.0983
20251023,000922.CSI,5691.9018,0.8147
20251024,000922.CSI,5655.0767,-0.647
20251027,000922.CSI,5681.4978,0.4672
20251028,000922.CSI,5651.6502,-0.5253
20251029,000922.CSI,5653.7533,0.0372
20251030,000922.CSI,5630.5531,-0.4104
20251031,000922.CSI,5627.6697,-0.0512
20251103,000922.CSI,5678.4308,0.902
20251104,000922.CSI,5699.4485,0.3701
20251105,000922.CSI,5723.3919,0.4201
20251106,000922.CSI,5745.9004,0.3933
20251107,000922.CSI,5752.944,0.1226
20251110,000922.CSI,5795.3924,0.7379
20251111,000922.CSI,5782.5897,-0.2209
20251112,000922.CSI,5786.4201,0.0662
20251113,000922.CSI,5801.9877,0.269
20251114,000922.CSI,5767.5602,-0.5934
20251117,000922.CSI,5739.3217,-0.4896
20251118,000922.CSI,5659.7759,-1.386
20251119,000922.CSI,5668.6614,0.157
20251120,000922.CSI,5656.0404,-0.2226
20251121,000922.CSI,5554.5184,-1.7949
20251124,000922.CSI,5527.1668,-0.4924
20251125,000922.CSI,5554.2173,0.4894
20251126,000922.CSI,5530.7929,-0.4217
20251127,000922.CSI,5539.999,0.1665
20251128,000922.CSI,5545.8415,0.1055
20251201,000922.CSI,5591.822,0.8291
20251202,000922.CSI,5584.8627,-0.1245
20251203,000922.CSI,5573.9,-0.1963
20251204,000922.CSI,5552.9572,-0.3757
20251205,000922.CSI,5557.9653,0.0902
20251208,000922.CSI,5527.4237,-0.5495
20251209,000922.CSI,5476.8405,-0.9151
20251210,000922.CSI,5481.5776,0.0865
20251211,000922.CSI,5435.6228,-0.8383
20251212,000922.CSI,5426.7244,-0.1637
20251215,000922.CSI,5457.0324,0.5585
20251216,000922.CSI,5414.3168,-0.7828
20251217,000922.CSI,5429.6808,0.2838
20251218,000922.CSI,5473.7057,0.8108
20251219,000922.CSI,5483.3469,0.1761
20251222,000922.CSI,5458.2256,-0.4581
20251223,000922.CSI,5459.1338,0.0166
20251224,000922.CSI,5472.2364,0.24
20251225,000922.CSI,5486.4444,0.2596
