date,limit_date,all_count,all_valid,all_return,all_gap,all_nav,all_bias,first_count,first_valid,first_return,first_gap,first_nav,first_bias
20251029,20251028,58,58,1.4211,2.3922,2.122345,14.47,45,45,1.7257,2.017,1.921689,12.73
20251030,20251029,60,60,0.8123,2.4338,2.139585,13.9,49,49,0.6004,2.5492,1.933227,12.1
20251031,20251030,46,46,0.742,1.0572,2.155461,13.25,34,34,0.8679,0.485,1.950007,11.74
20251103,20251031,57,57,2.7676,2.9633,2.215115,14.68,48,48,3.6086,2.8819,2.020375,14.19
20251104,20251103,66,66,2.9014,3.0404,2.279383,16.15,56,56,2.1697,2.5427,2.064212,14.96
20251105,20251104,50,50,3.7558,1.1106,2.364993,18.5,36,36,3.2748,1.0816,2.13181,16.9
20251106,20251105,67,67,0.5653,3.3987,2.378361,17.25,48,48,0.6551,2.7194,2.145776,15.92
20251107,20251106,62,62,3.1043,1.238,2.452193,18.82,51,51,3.1367,1.3285,2.213082,17.66
20251110,20251107,53,53,3.3883,4.5412,2.53528,20.63,41,41,2.5024,4.3859,2.268462,18.63
20251111,20251110,71,71,3.3454,3.0434,2.620096,22.35,60,60,3.22,3.1327,2.341505,20.33
20251112,20251111,67,67,2.0017,2.8266,2.672541,22.39,49,49,1.2379,2.1916,2.37049,19.77
20251113,20251112,58,58,3.8208,2.78,2.774653,24.45,39,39,2.7788,1.8343,2.436361,20.91
20251114,20251113,85,85,1.8173,1.9709,2.825076,24.1,67,67,1.3826,1.7551,2.470046,20.42
20251117,20251114,70,70,2.649,2.9996,2.899912,24.75,49,49,2.3022,2.5817,2.526911,21.01
20251118,20251117,85,83,-0.2213,2.8859,2.893493,22.06,60,59,-0.6754,2.4058,2.509845,18.23
20251119,20251118,45,45,2.7266,2.8232,2.972387,22.91,28,28,2.502,1.8989,2.572642,19.14
20251120,20251119,54,54,-1.2885,2.5668,2.934086,19.01,39,39,-1.838,1.5074,2.525358,15.07
20251121,20251120,41,41,-0.8892,0.1463,2.907997,15.74,29,29,-0.8297,0.425,2.504405,12.26
20251124,20251121,28,28,4.2487,4.2368,3.031551,18.26,19,19,5.2975,5.2533,2.637074,16.09
20251125,20251124,66,64,2.6484,1.3392,3.111837,19.03,53,51,2.2829,1.229,2.697275,16.66
20251126,20251125,77,77,3.0101,2.5774,3.205507,20.13,65,65,2.313,2.0986,2.759664,17.24
20251127,20251126,68,68,-0.9908,1.5148,3.173746,16.67,47,47,-0.9788,1.4357,2.732652,14.15
20251128,20251127,53,53,0.8624,0.6584,3.201117,15.46,43,43,0.9786,0.8788,2.759394,13.35
20251201,20251128,70,70,3.0449,2.3794,3.298587,16.7,61,61,2.3921,2.0732,2.825402,14.18
20251202,20251201,64,64,2.0559,2.0531,3.366404,16.85,46,46,0.5062,1.5315,2.839704,12.98
20251203,20251202,47,47,1.2837,2.6751,3.409618,16.24,32,32,0.9747,2.1064,2.867383,12.44
20251204,20251203,48,47,0.2375,2.0579,3.417716,14.49,37,36,0.4867,2.1843,2.881337,11.38
20251205,20251204,38,38,1.4933,2.2865,3.468754,14.25,28,28,0.267,1.5907,2.88903,10.24
20251208,20251205,73,72,5.6012,3.886,3.663046,18.45,62,61,5.4509,3.7645,3.046507,14.55
