trade_date,prefix,close,vol,amount,oi
20251009,IH,3026.0,36012.0,3256066.986,66848.0
20250930,IH,2989.0,29276.0,2622757.638,63473.0
20250929,IH,2976.0,51950.0,4616732.838,71918.0
20250926,IH,2944.4,29241.0,2588300.322,61526.0
20250925,IH,2953.6,31803.0,2817171.084,61185.0
20250924,IH,2939.8,37457.0,3295172.316,63540.0
20250923,IH,2925.0,42588.0,3718386.654,63912.0
20250922,IH,2923.0,30635.0,2679530.208,63298.0
20250919,IH,2913.4,29901.0,2614252.98,60756.0
20250918,IH,2910.8,31314.0,2763746.91,18625.0
20260224,IC,8371.6,73322.0,12300661.496,139597.0
20260213,IC,8274.8,81351.0,13585888.768,140501.0
20260212,IC,8448.8,69413.0,11673516.592,142445.0
20260211,IC,8336.4,59866.0,9994821.024,135346.0
20260210,IC,8290.8,54914.0,9110593.644,134825.0
20260209,IC,8311.6,76113.0,12612955.672,138576.0
20260206,IC,8117.4,113205.0,18425271.22,146089.0
20260205,IC,8120.2,112281.0,18229382.284,149924.0
20260204,IC,8313.6,100543.0,16531533.984,145579.0
20260203,IC,8282.0,122145.0,19953925.56,151098.0
20260202,IC,7903.2,151002.0,24492860.284,153481.0
20260130,IC,8362.4,137793.0,22982453.996,163697.0
20260129,IC,8517.6,115687.0,19903371.956,170962.0
20260128,IC,8622.0,94115.0,16150686.472,167295.0
20260127,IC,8547.6,121961.0,20664817.396,173219.0
20260126,IC,8470.0,128932.0,22027755.292,174418.0
20260123,IC,8658.2,103171.0,17627830.736,179892.0
20260122,IC,8400.0,81239.0,13612850.568,174152.0
20260121,IC,8371.0,101832.0,16940243.384,175976.0
20260120,IC,8248.8,123309.0,20246495.12,180970.0
20260119,IC,8266.0,98224.0,16252259.276,177228.0
20260116,IC,8210.4,102740.0,16880489.496,174492.0
20260115,IC,8206.8,110213.0,18019027.964,176008.0
20260114,IC,8197.8,173512.0,28568192.496,180823.0
20260113,IC,8131.2,120900.0,19714075.66,171420.0
20260112,IC,8236.6,114590.0,18653264.076,167535.0
20260109,IC,8037.8,110023.0,17506422.236,174403.0
20260108,IC,7814.4,87667.0,13727844.02,158547.0
20260107,IC,7802.6,85963.0,13422549.676,164218.0
20260106,IC,7786.4,94435.0,14556684.264,164336.0
20260105,IC,7596.0,79757.0,12000127.656,160143.0
20251231,IC,7362.8,62267.0,9178620.492,145074.0
20251230,IC,7381.0,66223.0,9768166.864,153828.0
20251229,IC,7336.6,63940.0,9419278.96,146816.0
20251226,IC,7388.0,84671.0,12503617.596,157607.0
20251225,IC,7320.6,63146.0,9202562.016,144535.0
20251224,IC,7240.4,69984.0,10084225.104,146995.0
20251223,IC,7133.2,53906.0,7697183.52,136107.0
20251222,IC,7123.2,58271.0,8320090.192,138149.0
20251219,IC,7055.4,69784.0,9835783.236,137059.0
20251218,IC,7101.0,46235.0,6600081.452,34085.0
20251217,IC,7146.8,75907.0,10740836.236,56653.0
20251216,IC,7010.2,78132.0,10950810.364,75305.0
20251215,IC,7115.8,65014.0,9280590.112,80379.0
20251212,IC,7174.0,82739.0,11798154.512,99631.0
20251211,IC,7074.4,63847.0,9074792.952,99580.0
20251210,IC,7122.2,69706.0,9879469.408,109494.0
20251209,IC,7094.4,57109.0,8132596.088,114015.0
20251208,IC,7144.0,63355.0,9046511.024,116565.0
20251205,IC,7083.2,83349.0,11691485.86,130990.0
20251204,IC,6983.2,64721.0,9012132.576,123278.0
20251203,IC,6950.4,67339.0,9381686.028,133791.0
20251202,IC,6982.2,54148.0,7567557.032,127620.0
20251201,IC,7031.6,64309.0,9026043.596,134509.0
20251128,IC,6974.2,72395.0,10058795.816,139454.0
20251127,IC,6896.2,76028.0,10571365.548,145804.0
20251126,IC,6909.4,74334.0,10316229.716,143910.0
20251125,IC,6900.0,93552.0,12966973.152,152439.0
20251124,IC,6827.6,92262.0,12564052.58,151377.0
20251121,IC,6770.0,131128.0,17940506.86,165935.0
20251120,IC,7000.0,89650.0,12624955.076,154013.0
20251119,IC,7054.8,83682.0,11815193.304,141911.0
20251118,IC,7079.8,83267.0,11792567.336,139697.0
20251117,IC,7143.4,73642.0,10517444.308,133431.0
20251114,IC,7137.4,71699.0,10322524.652,130526.0
20251113,IC,7269.0,80371.0,11621599.608,129916.0
20251112,IC,7155.2,90041.0,12859001.54,141389.0
20251111,IC,7173.0,69626.0,10045072.016,127025.0
20251110,IC,7235.8,76452.0,11043811.22,132910.0
20251107,IC,7230.2,68877.0,9953411.236,127129.0
20251106,IC,7246.4,85816.0,12362590.688,134122.0
20251105,IC,7108.0,93164.0,13191044.956,136756.0
20251104,IC,7094.6,90041.0,12818476.88,135390.0
20251103,IC,7239.6,90896.0,13055679.136,137332.0
20251031,IC,7242.4,92416.0,13463846.1,138903.0
20251030,IC,7299.0,106213.0,15551793.3,141423.0
20251029,IC,7390.0,88124.0,12916931.076,140222.0
20251028,IC,7231.0,82049.0,11908112.82,133968.0
20251027,IC,7254.4,87202.0,12638853.024,140233.0
20251024,IC,7159.8,84722.0,12031630.484,134444.0
20251023,IC,7040.0,92122.0,12801349.992,140501.0
20251022,IC,7011.6,68879.0,9664122.668,131680.0
20251021,IC,7052.8,89215.0,12563576.864,139981.0
20251020,IC,6909.2,81712.0,11339816.428,135493.0
20251017,IC,6863.2,97770.0,13551450.72,140473.0
20251016,IC,7062.0,88010.0,12464141.796,138071.0
20251015,IC,7140.2,105607.0,14948713.896,141518.0
20251014,IC,7010.0,131717.0,18806535.372,151940.0
20251013,IC,7231.0,101843.0,14606080.896,143038.0
20251010,IC,7266.0,99771.0,14591305.912,140200.0
20251009,IC,7415.8,88806.0,13161497.608,143814.0
20250930,IC,7290.4,71590.0,10431993.0,131766.0
20250929,IC,7232.2,91906.0,13151638.112,135897.0
20250926,IC,7080.0,82089.0,11714980.788,135754.0
20250925,IC,7166.6,76629.0,10996176.932,132726.0
20250924,IC,7157.0,103608.0,14614184.58,136396.0
20250923,IC,6940.6,107027.0,14739686.26,138800.0
20250922,IC,7013.2,67975.0,9486292.536,128272.0
20250919,IC,6984.0,90167.0,12608906.476,131765.0
20250918,IC,7171.6,63994.0,9289414.588,35612.0
20260224,IM,8271.0,105984.0,17584717.044,188594.0
20260213,IM,8189.0,114424.0,18895980.492,185460.0
20260212,IM,8338.0,96452.0,16010881.98,187061.0
20260211,IM,8241.0,81851.0,13527168.576,180217.0
20260210,IM,8229.0,82316.0,13550745.872,175231.0
20260209,IM,8232.6,112370.0,18409662.952,179169.0
20260206,IM,7990.8,147053.0,23662631.224,187915.0
20260205,IM,8039.8,142554.0,22941493.448,186934.0
20260204,IM,8203.4,136596.0,22177684.14,186743.0
20260203,IM,8183.0,150161.0,24337820.12,189544.0
20260202,IM,7871.8,173821.0,28031201.488,194848.0
20260130,IM,8260.6,167342.0,27492423.08,191798.0
20260129,IM,8329.0,147818.0,24785269.816,196369.0
20260128,IM,8377.8,114744.0,19160277.248,180338.0
20260127,IM,8357.2,158438.0,26165352.124,191923.0
20260126,IM,8289.2,160156.0,26757829.596,191679.0
20260123,IM,8516.6,128628.0,21651446.636,195577.0
20260122,IM,8292.6,104669.0,17279168.412,186587.0
20260121,IM,8231.0,133027.0,21812081.076,192142.0
20260120,IM,8120.8,150527.0,24394615.704,198773.0
20260119,IM,8186.6,123630.0,20313200.512,195201.0
20260116,IM,8179.2,141207.0,23099082.94,201001.0
20260115,IM,8195.4,148081.0,24129690.18,203295.0
