date,contract,name,fut_close,spot_close,basis,basis_pct,annual_basis_pct,fut_vol,fut_amount,fut_oi
20260403,IH,上证50,2804.4,2830.6,-26.2,-0.9255,-11.11,20645.0,1741785.342,51815.0
20260403,IM,中证1000,7309.4,7536.6,-227.2,-3.0146,-36.18,131935.0,19365537.312,200101.0
20260407,IC,中证500,7388.8,7571.11,-182.31,-2.408,-28.9,70619.0,10464145.22,145512.0
20260407,IF,沪深300,4360.0,4440.62,-80.62,-1.8154,-21.79,39916.0,5231882.826,134908.0
20260407,IH,上证50,2798.4,2830.52,-32.12,-1.1349,-13.62,19156.0,1613808.372,53412.0
20260407,IM,中证1000,7376.6,7606.02,-229.42,-3.0163,-36.2,113811.0,16808297.188,193891.0
20260408,IC,中证500,7831.8,7945.15,-113.35,-1.4267,-17.12,107885.0,16657541.872,160623.0
20260408,IF,沪深300,4539.6,4595.56,-55.96,-1.2176,-14.61,72939.0,9837708.6,142547.0
20260408,IH,上证50,2886.0,2907.07,-21.07,-0.7246,-8.7,34721.0,2990611.752,58098.0
20260408,IM,中证1000,7778.0,7955.77,-177.77,-2.2345,-26.81,142337.0,21861594.876,202176.0
20260409,IC,中证500,7748.8,7898.63,-149.83,-1.8969,-22.76,77423.0,11997746.608,148538.0
20260409,IF,沪深300,4500.0,4566.22,-66.22,-1.4503,-17.4,44564.0,6015003.018,133719.0
20260409,IH,上证50,2860.6,2884.76,-24.16,-0.8375,-10.05,21510.0,1846605.804,52852.0
20260409,IM,中证1000,7709.4,7921.45,-212.05,-2.6769,-32.12,102250.0,15781325.772,191098.0
20260410,IC,中证500,7828.6,7969.36,-140.76,-1.7663,-21.2,92493.0,14560405.964,156816.0
20260410,IF,沪深300,4562.0,4636.57,-74.57,-1.6082,-19.3,59681.0,8167322.316,140107.0
20260410,IH,上证50,2873.2,2899.58,-26.38,-0.9098,-10.92,26301.0,2274310.188,54272.0
20260410,IM,中证1000,7785.8,7998.23,-212.43,-2.656,-31.87,116023.0,18138163.796,197340.0
20260413,IC,中证500,7808.8,7967.7,-158.9,-1.9943,-23.93,69300.0,10849294.148,147814.0
20260413,IF,沪深300,4570.6,4646.15,-75.55,-1.6262,-19.51,44872.0,6145659.006,132738.0
20260413,IH,上证50,2873.0,2899.47,-26.47,-0.9129,-10.96,20189.0,1738348.308,50725.0
20260413,IM,中证1000,7795.6,8025.57,-229.97,-2.8655,-34.39,96412.0,15035308.732,188693.0
20260414,IC,中证500,7938.4,8088.57,-150.17,-1.8566,-22.28,86041.0,13585427.196,156963.0
20260414,IF,沪深300,4639.6,4701.28,-61.68,-1.3121,-15.74,54260.0,7503247.788,139985.0
20260414,IH,上证50,2898.4,2924.18,-25.78,-0.8817,-10.58,23638.0,2047643.718,53443.0
20260414,IM,中证1000,7913.0,8144.76,-231.76,-2.8455,-34.15,119386.0,18791135.588,198017.0
