trade_date,symbol,close,vol,amount,oi
20260205,Y,8104.0,303624.0,2471370.56,701522.0
20260206,Y,8102.0,163630.0,1326816.48,686836.0
20260209,Y,8114.0,192708.0,1565409.17,678475.0
20260210,Y,8098.0,216231.0,1754892.13,670976.0
20260211,Y,8110.0,191275.0,1549418.99,663315.0
20260212,Y,8082.0,209635.0,1699575.2,651133.0
20260213,Y,8054.0,231582.0,1867020.5,625533.0
20260224,Y,8140.0,188039.0,1532878.78,630648.0
20250709,P,8678.0,473571.0,4100138.38,528219.0
20250710,P,8638.0,636450.0,5491346.77,505365.0
20250711,P,8682.0,772262.0,6708839.94,512798.0
20250714,P,8748.0,544815.0,4741574.19,505476.0
20250715,P,8708.0,568073.0,4973214.72,495933.0
20250716,P,8722.0,493411.0,4302661.73,502077.0
20250717,P,8796.0,567537.0,4974511.41,538144.0
20250718,P,8964.0,703683.0,6260897.95,557055.0
20250721,P,8910.0,708709.0,6349252.95,509869.0
20250722,P,8926.0,706504.0,6309039.39,492920.0
20250723,P,8994.0,758574.0,6816195.56,496579.0
20250724,P,9104.0,627783.0,5664451.81,516327.0
20250725,P,8936.0,673443.0,6051218.28,456448.0
20250728,P,8946.0,604377.0,5389807.74,449955.0
20250729,P,8970.0,611734.0,5460445.28,432271.0
20250730,P,8982.0,500291.0,4488703.11,403926.0
20250731,P,8900.0,479022.0,4269864.51,394483.0
20250801,P,8910.0,512068.0,4554720.87,394141.0
20250804,P,8838.0,611600.0,5390751.09,350396.0
20250805,P,9064.0,580261.0,5191864.57,400643.0
20250806,P,8970.0,557925.0,5010388.77,344307.0
20250807,P,8950.0,445128.0,4000928.71,317188.0
20250808,P,8980.0,442221.0,3985342.31,305714.0
20250811,P,9218.0,567374.0,5151045.33,299985.0
20250812,P,9362.0,443030.0,4118075.23,270663.0
20250813,P,9424.0,384052.0,3608619.49,226780.0
20250814,P,9368.0,703708.0,6651384.86,444903.0
20250815,P,9460.0,592724.0,5575491.29,480835.0
20250818,P,9584.0,832994.0,8002636.97,504979.0
20250819,P,9640.0,785065.0,7583996.31,525990.0
20250820,P,9554.0,788154.0,7502138.33,497896.0
20250821,P,9500.0,727262.0,6949227.31,513963.0
20250822,P,9592.0,753974.0,7197964.68,519477.0
20250825,P,9582.0,718391.0,6907416.68,522517.0
20250826,P,9500.0,635579.0,6066795.94,522571.0
20250827,P,9500.0,683952.0,6509997.6,520809.0
20260112,P,8724.0,512074.0,4433865.48,417932.0
20260113,P,8778.0,558865.0,4916216.2,439704.0
20260114,P,8748.0,531801.0,4657212.8,438095.0
20260115,P,8578.0,534066.0,4606456.24,429816.0
20260116,P,8674.0,570565.0,4917916.76,415079.0
20260119,P,8648.0,358548.0,3100004.62,413122.0
20260120,P,8748.0,422495.0,3684677.93,429178.0
20260121,P,8832.0,487113.0,4289142.59,445943.0
20260122,P,8944.0,502993.0,4483723.06,467244.0
20260123,P,8910.0,360593.0,3215606.56,476216.0
20260126,P,9092.0,542284.0,4879867.76,485983.0
20260127,P,9238.0,688004.0,6285188.09,501885.0
20260128,P,9270.0,513486.0,4753394.3,497601.0
20260129,P,9362.0,529334.0,4939461.68,514392.0
20260130,P,9240.0,569719.0,5287486.55,492509.0
20260202,P,9014.0,656811.0,5989857.91,463751.0
20260203,P,9094.0,397804.0,3620118.95,463716.0
20260204,P,9138.0,435429.0,3991634.6,468831.0
20260205,P,9042.0,449035.0,4096083.08,455399.0
20260206,P,9026.0,285443.0,2581461.6,444122.0
20260209,P,9014.0,345264.0,3108090.96,436227.0
20260210,P,8940.0,381959.0,3425878.51,424586.0
20260211,P,8906.0,290733.0,2592340.54,417236.0
20260212,P,8782.0,328615.0,2910061.52,400972.0
20260213,P,8698.0,297379.0,2602636.38,371271.0
20260224,P,8824.0,268923.0,2383725.67,370957.0
20250709,CU,78400.0,162594.0,6415674.95,193999.0
20250710,CU,78600.0,99231.0,3889713.58,181068.0
20250711,CU,78430.0,81666.0,3206713.69,178682.0
20250714,CU,78400.0,79136.0,3098105.02,172204.0
20250715,CU,78090.0,81666.0,3182324.87,169930.0
20250716,CU,77980.0,60926.0,2375144.03,160457.0
20250717,CU,77840.0,54262.0,2113579.01,153791.0
20250718,CU,78410.0,63394.0,2482435.98,145430.0
20250721,CU,79700.0,80012.0,3170009.24,137617.0
20250722,CU,79740.0,73257.0,2917516.53,166726.0
20250723,CU,79590.0,85686.0,3419443.3,172895.0
20250724,CU,79890.0,73919.0,2951179.86,181496.0
20250725,CU,79250.0,88147.0,3496574.63,180830.0
20250728,CU,79000.0,75630.0,2986907.9,176092.0
20250729,CU,78840.0,65404.0,2582813.92,173744.0
20250730,CU,78930.0,55888.0,2209574.08,171689.0
20250731,CU,78040.0,109011.0,4275627.65,176193.0
20250801,CU,78400.0,80943.0,3168064.81,167671.0
20250804,CU,78330.0,62389.0,2440154.87,163558.0
20250805,CU,78580.0,42792.0,1679301.63,159866.0
20250806,CU,78280.0,56389.0,2203827.41,158574.0
20250807,CU,78460.0,42710.0,1673919.63,157601.0
20250808,CU,78490.0,42906.0,1682929.32,156892.0
20250811,CU,79020.0,70041.0,2764032.84,160884.0
20250812,CU,79020.0,48485.0,1913807.43,156044.0
20250813,CU,79380.0,52049.0,2064830.99,158877.0
20250814,CU,78950.0,51734.0,2046613.75,152341.0
20250815,CU,79060.0,50116.0,1978717.83,152557.0
20250818,CU,78950.0,44818.0,1770952.01,147433.0
20250819,CU,78890.0,39153.0,1544207.64,140367.0
20250820,CU,78640.0,56138.0,2205941.31,135865.0
20250821,CU,78540.0,43058.0,1692390.36,128034.0
20250822,CU,78690.0,37910.0,1492016.13,120902.0
20250825,CU,79690.0,68092.0,2698651.67,111260.0
20250826,CU,79190.0,68825.0,2734439.85,175488.0
20250827,CU,79190.0,57818.0,2294177.74,174997.0
20260112,CU,103800.0,209742.0,10777389.65,182691.0
20260113,CU,102290.0,225437.0,11612670.7,172960.0
20260114,CU,104120.0,342221.0,17825278.46,241232.0
20260115,CU,102810.0,333840.0,17209523.41,235877.0
20260116,CU,100770.0,322422.0,16423737.75,225933.0
20260119,CU,101180.0,240253.0,12091434.46,217432.0
20260120,CU,101230.0,176063.0,8912407.75,218898.0
20260121,CU,101280.0,230318.0,11565034.72,223787.0
20260122,CU,100700.0,174028.0,8762431.94,222467.0
20260123,CU,101340.0,232815.0,11712305.6,231437.0
20260126,CU,101880.0,279862.0,14379941.55,228979.0
20260127,CU,102600.0,245677.0,12625065.19,229757.0
20260128,CU,103060.0,240398.0,12290875.62,227447.0
20260129,CU,109110.0,452684.0,24150248.93,242831.0
20260130,CU,103680.0,789998.0,42795506.56,222934.0
20260202,CU,98580.0,422325.0,21507425.75,194810.0
20260203,CU,104500.0,375239.0,19067828.27,191887.0
20260204,CU,105160.0,241402.0,12664858.02,192908.0
20260205,CU,100980.0,285586.0,14636369.31,182337.0
20260206,CU,100100.0,267263.0,13363216.78,175306.0
20260209,CU,101840.0,162231.0,8234172.48,169613.0
20260210,CU,101560.0,101176.0,5153313.03,159688.0
20260211,CU,102180.0,94626.0,4822788.29,158550.0
20260212,CU,102330.0,114347.0,5870608.97,147631.0
20260213,CU,100380.0,140438.0,7076775.79,139623.0
20260224,CU,101510.0,71015.0,3607982.04,130714.0
20250709,AL,20515.0,102569.0,1052212.91,250099.0
20250710,AL,20700.0,138934.0,1436198.06,255633.0
20250711,AL,20695.0,120225.0,1245462.04,255146.0
20250714,AL,20415.0,208641.0,2131937.02,222489.0
20250715,AL,20430.0,103595.0,1056382.8,205194.0
20250716,AL,20475.0,73249.0,748360.72,194458.0
20250717,AL,20415.0,102174.0,1043617.43,268542.0
20250718,AL,20510.0,129036.0,1323191.89,282655.0
20250721,AL,20840.0,220654.0,2289022.32,316907.0
20250722,AL,20900.0,153418.0,1600164.91,330897.0
20250723,AL,20790.0,144609.0,1507224.03,327482.0
20250724,AL,20760.0,145349.0,1507227.81,309943.0
20250725,AL,20760.0,143571.0,1489771.76,301970.0
20250728,AL,20615.0,188322.0,1944652.24,285172.0
20250729,AL,20605.0,119985.0,1237402.96,272707.0
20250730,AL,20625.0,125168.0,1290749.41,261363.0
20250731,AL,20510.0,145300.0,1494747.91,248613.0
20250801,AL,20510.0,127617.0,1306559.03,233455.0
20250804,AL,20525.0,106488.0,1089342.53,227036.0
20250805,AL,20560.0,99996.0,1024788.77,225945.0
20250806,AL,20650.0,92872.0,956644.85,224937.0
20250807,AL,20750.0,132302.0,1373888.89,232346.0
20250808,AL,20685.0,91804.0,949023.48,221738.0
20250811,AL,20700.0,87829.0,908038.21,215510.0
20250812,AL,20735.0,83080.0,858343.12,210986.0
20250813,AL,20790.0,82078.0,853598.01,216466.0
20250814,AL,20715.0,97989.0,1014563.3,202961.0
20250815,AL,20770.0,96350.0,999351.47,193807.0
20250818,AL,20600.0,109366.0,1127194.79,172995.0
20250819,AL,20545.0,105187.0,1082213.22,234699.0
20250820,AL,20535.0,128168.0,1313222.91,228028.0
20250821,AL,20590.0,124523.0,1282809.54,233902.0
20250822,AL,20630.0,134574.0,1390924.26,237287.0
20250825,AL,20770.0,146160.0,1515978.85,248343.0
20250826,AL,20715.0,103054.0,1068247.72,251409.0
20250827,AL,20810.0,212688.0,2217739.75,269866.0
20260112,AL,24650.0,655011.0,8053260.31,379081.0
20260113,AL,24375.0,825553.0,10158961.28,370981.0
20260114,AL,24595.0,777707.0,9623118.13,368960.0
20260115,AL,24375.0,766880.0,9381551.86,346831.0
20260116,AL,23925.0,660823.0,7991563.42,333899.0
20260119,AL,24090.0,424687.0,5090197.68,337097.0
20260120,AL,23950.0,447533.0,5375972.82,332750.0
20260121,AL,24155.0,468256.0,5599807.01,343223.0
20260122,AL,24055.0,355802.0,4273670.26,337960.0
20260123,AL,24290.0,428066.0,5166099.52,340575.0
20260126,AL,24215.0,510890.0,6221394.04,322087.0
20260127,AL,24305.0,413754.0,5016176.02,311897.0
20260128,AL,25640.0,937111.0,11652349.98,362833.0
20260129,AL,25590.0,1013509.0,12918083.62,342527.0
20260130,AL,24560.0,1268117.0,16052834.24,284899.0
20260202,AL,23035.0,927866.0,11154821.39,238007.0
20260203,AL,23810.0,763560.0,8980586.97,226641.0
20260204,AL,23955.0,451208.0,5394785.97,224756.0
20260205,AL,23385.0,473671.0,5595776.3,207370.0
20260206,AL,23315.0,383322.0,4477050.55,199482.0
20260209,AL,23540.0,304640.0,3592715.09,197639.0
20260210,AL,23515.0,188582.0,2220500.1,184786.0
20260211,AL,23660.0,146496.0,1727177.09,174403.0
20260212,AL,23610.0,181308.0,2140642.14,159738.0
20260213,AL,23195.0,237943.0,2781418.5,142499.0
20260224,AL,23550.0,118216.0,1395433.69,127637.0
20250709,SC,519.7,128915.0,6649274.55,24508.0
20250710,SC,522.5,113995.0,5931943.05,23430.0
20250711,SC,513.9,129191.0,6642524.02,20067.0
20250714,SC,527.5,118839.0,6216092.51,20909.0
20250715,SC,518.2,124246.0,6489064.37,18513.0
20250716,SC,517.4,86719.0,4485430.23,14961.0
20250717,SC,516.8,86327.0,4434000.23,12929.0
20250718,SC,532.0,55711.0,2916966.71,9707.0
20250721,SC,512.3,150393.0,7750048.38,38281.0
20250722,SC,504.3,143753.0,7283026.86,36584.0
20250723,SC,503.7,128828.0,6492079.71,36294.0
20250724,SC,508.9,123664.0,6236615.93,38720.0
20250725,SC,512.9,152592.0,7761359.9,39971.0
20250728,SC,505.9,117652.0,5947577.83,37812.0
20250729,SC,515.0,126393.0,6506553.64,38672.0
20250730,SC,528.6,136660.0,7158674.83,37676.0
20250731,SC,531.3,107487.0,5718807.63,35066.0
20250801,SC,527.9,119348.0,6303137.19,32526.0
20250804,SC,514.3,145838.0,7537481.8,28232.0
20250805,SC,508.8,107222.0,5459613.72,28256.0
20250806,SC,505.9,110667.0,5580831.9,30722.0
20250807,SC,501.0,147562.0,7442834.74,31576.0
20250808,SC,489.8,97506.0,4841142.49,32725.0
20250811,SC,489.4,135691.0,6683578.54,29970.0
20250812,SC,495.2,80626.0,3985988.88,26535.0
20250813,SC,489.5,77476.0,3800482.76,24566.0
