date,index_name,daily_buy_amt,daily_sell_amt,daily_net_amt,cum_position,cost_price,close_price,pnl_pct,abnormal_bars
20240605,沪深300,0.0,0.0,0.0,702.96,3.5181,3.6705,4.33,0
20240606,沪深300,2.7646,4.0158,-1.2513,701.71,3.5184,3.6705,4.32,6
20240607,沪深300,1.4201,1.5278,-0.1077,697.02,3.5185,3.6465,3.64,7
20240611,沪深300,1.8471,2.8756,-1.0285,691.31,3.5186,3.622,2.94,6
20240612,沪深300,0.0,0.0,0.0,690.45,3.5186,3.6175,2.81,0
20240613,沪深300,0.0,0.0,0.0,687.78,3.5186,3.6035,2.41,0
20240614,沪深300,3.4182,0.732,2.6862,694.58,3.5188,3.625,3.02,3
20240617,沪深300,0.0,0.0499,-0.0499,692.42,3.5188,3.614,2.71,1
20240618,沪深300,0.0197,0.2521,-0.2324,694.2,3.5188,3.6245,3.0,2
20240619,沪深300,0.533,0.0,0.533,692.53,3.5189,3.613,2.68,1
20240620,沪深300,0.0136,1.8271,-1.8135,686.21,3.5189,3.5895,2.01,3
20240621,沪深300,59.302,2.3252,56.9768,743.17,3.5214,3.589,1.92,9
20240624,沪深300,23.8016,33.3882,-9.5866,728.92,3.5222,3.5665,1.26,14
20240625,沪深300,28.9576,9.5324,19.4252,743.98,3.5226,3.545,0.64,13
20240626,沪深300,11.509,0.0,11.509,760.28,3.5228,3.5675,1.27,8
20240627,沪深300,10.1811,20.335,-10.1539,746.08,3.5229,3.5485,0.73,9
20240628,沪深300,11.406,2.9462,8.4598,756.11,3.5232,3.556,0.93,10
20240701,沪深300,4.1909,0.0,4.1909,763.07,3.5233,3.569,1.3,4
20240702,沪深300,0.5088,0.0,0.5088,762.51,3.5233,3.564,1.15,1
20240703,沪深300,15.085,0.0,15.085,776.76,3.5236,3.56,1.03,4
20240704,沪深300,18.2079,14.4896,3.7184,776.41,3.5239,3.5415,0.5,9
20240705,沪深300,25.0647,8.9358,16.129,789.07,3.5238,3.5255,0.05,8
20240708,沪深300,7.4316,6.5779,0.8537,784.22,3.5237,3.5,-0.67,3
20240709,沪深300,13.1356,0.8439,12.2917,804.95,3.5237,3.5375,0.39,8
20240710,沪深300,0.0,0.0753,-0.0753,803.06,3.5237,3.5295,0.17,1
20240711,沪深300,7.337,2.8857,4.4512,818.32,3.5239,3.577,1.51,8
20240712,沪深300,5.168,0.2213,4.9467,825.91,3.5241,3.5885,1.83,3
