symbol,sector,close,chg_20d,trend_dir,ma_alignment,vol_20d,vol_pctile_60d,squeeze,volume_ratio,donchian_20,donchian_60,dc20_position,oi_chg_5d,oi_chg_20d,oi_confirm,r2,avg_daily_amt,signal_count,drivers,industry_drivers,trend_score
PB,有色金属,16735.0,-2.84,震荡,-0.2,0.0964,0.4167,False,1.0566,,,0.3147,70.22,-2.96,空头确认,0.5842,485350.48,1,空头确认,,0.35
LH,农产品,11465.0,-0.74,空头,-0.4,0.2312,0.9167,False,0.8215,,,0.5304,3.29,7.19,空头确认,0.0208,1059545.01,2,趋势空头|空头确认,能繁母猪存栏·出栏节奏·冻品库存,0.3234
P,农产品,8848.0,1.14,震荡,-0.2,0.1815,0.9,False,1.0467,,,0.2259,-8.99,-9.97,多头衰竭,0.225,3944177.64,0,,东南亚产量·生柴政策·库存,0.3212
EG,能源化工,3747.0,1.99,震荡,-0.2,0.2726,0.4167,False,1.248,,,0.226,1.76,24.33,,0.4143,1349316.23,1,放量,聚酯开工·煤化工投产·库存周期,0.3202
L,能源化工,6777.0,2.06,震荡,0.0,0.1957,1.0,False,1.1167,,,0.335,-0.93,2.55,,0.1774,1628105.05,0,,石化检修·农膜需求·进口到港,0.3201
MA,能源化工,2249.0,1.95,震荡,0.0,0.2848,1.0,False,1.0135,,,0.372,-1.5,-4.29,,0.2069,2497881.78,0,,煤制甲醇成本·MTO开工·进口到港,0.3152
CU,有色金属,102460.0,1.22,震荡,0.2,0.4307,0.9167,False,1.1431,,,0.3685,-31.09,-49.73,多头衰竭,0.0108,12940559.4,0,,全球制造业PMI·铜矿供给·新能源需求,0.311
OI,农产品,9244.0,3.31,震荡,-0.2,0.197,0.7333,False,0.8821,,,0.5952,-3.04,2.21,多头衰竭,0.003,1846416.62,0,,菜籽进口·食用需求·豆棕价差,0.3039
BC,有色金属,91050.0,1.12,震荡,0.2,0.4566,0.9333,False,0.955,,,0.3785,-57.66,-68.19,多头衰竭,0.011,396055.94,0,,,0.2905
ZN,有色金属,24645.0,0.96,震荡,0.0,0.2541,0.85,False,1.2041,,,0.2564,-55.7,-78.87,多头衰竭,0.0697,2480546.14,1,放量,矿端供给·镀锌需求·冶炼利润,0.2643
SM,黑色系,5752.0,-0.14,空头,-0.6,0.0947,0.2167,False,0.8877,,,0.1792,21.2,110.86,空头确认,0.1853,440824.01,2,趋势空头|空头确认,,0.2529
SA,能源化工,1191.0,1.19,震荡,0.2,0.2135,0.35,False,0.9969,,,0.5422,-2.27,0.49,,0.145,2250814.92,0,,光伏玻璃需求·纯碱产能·库存,0.2502
SF,黑色系,5486.0,-1.19,空头,-0.6,0.1185,0.0833,False,0.6049,,,0.1197,34.39,-8.7,空头确认,0.3805,374092.28,2,趋势空头|空头确认,,0.2444
AL,有色金属,23835.0,0.1,多头,0.6,40.5876,0.0167,False,0.499,,,0.9939,703.52,9.49,多头确认,0.0085,1639233.27,2,趋势多头|多头确认,电解铝产能·电力成本·地产竣工,0.2245
J,黑色系,1674.0,0.03,震荡,-0.2,0.2936,0.4333,False,0.9018,,,0.411,4.96,-0.52,多头确认,0.1356,298454.93,1,多头确认,焦化利润·环保限产·钢厂补库,0.2195
SP,能源化工,5348.0,-0.52,震荡,0.0,0.115,0.1333,False,0.7769,,,0.7475,-21.89,-5.5,空头衰竭,0.3817,1214708.11,0,,海外浆厂检修·造纸需求·港口库存,0.2058
CJ,农产品,8910.0,2.41,震荡,0.0,0.1444,0.2333,False,0.7302,,,0.8571,-7.92,-14.45,多头衰竭,0.0389,317104.85,0,,,0.1904
PK,农产品,7928.0,0.28,空头,-0.6,0.0549,0.05,False,0.6063,,,0.129,162.38,0.33,多头确认,0.1681,222448.54,2,趋势空头|多头确认,,0.188
FG,能源化工,1064.0,0.76,震荡,0.2,0.2627,0.3,False,0.8914,,,0.375,7.76,-3.62,多头确认,0.0001,2497134.25,1,多头确认,地产竣工·光伏组件·产线冷修,0.1802
JM,黑色系,1126.0,0.18,震荡,-0.2,0.3198,0.15,False,0.9231,,,0.349,-1.45,-7.66,,0.0972,6140957.27,0,,煤矿安检·进口蒙煤·焦化需求,0.1684
