ts_code,stk_code,conv_price,maturity_date,list_date,bond_short_name,par
113623.SH,603225.SH,15.78,20270408,20210507,凤21转债,100.0
123112.SZ,300112.SZ,8.3,20270408,20210423,万讯转债,100.0
113047.SH,601636.SH,5.43,20270409,20210507,旗滨转债,100.0
127033.SZ,002822.SZ,3.79,20270416,20210524,中装转2,100.0
123113.SZ,300791.SZ,31.86,20270419,20210514,仙乐转债,100.0
113048.SH,601778.SH,4.5,20270423,20210531,晶科转债,100.0
113624.SH,603976.SH,20.07,20270428,20210601,正川转债,100.0
127034.SZ,002887.SZ,11.51,20270430,20210528,绿茵转债,100.0
111000.SH,605222.SH,17.35,20270524,20210617,起帆转债,100.0
123114.SZ,300775.SZ,31.39,20270525,20210611,三角转债,100.0
127037.SZ,002126.SZ,10.39,20270607,20210709,银轮转债,100.0
113049.SH,601633.SH,39.16,20270610,20210708,长汽转债,100.0
127038.SZ,002049.SZ,97.3,20270610,20210714,国微转债,100.0
113625.SH,603208.SH,19.84,20270611,20210701,江山转债,100.0
113051.SH,601016.SH,3.33,20270621,20210722,节能转债,100.0
123117.SZ,300529.SZ,38.65,20270623,20210712,健帆转债,100.0
127039.SZ,000582.SZ,7.31,20270629,20210723,北港转债,100.0
127040.SZ,002091.SZ,7.65,20270707,20210810,国泰转债,100.0
123118.SZ,300779.SZ,11.11,20270707,20210726,惠城转债,100.0
127041.SZ,002833.SZ,17.0,20260712,20210810,弘亚转债,100.0
123119.SZ,300601.SZ,15.73,20270715,20210805,康泰转2,100.0
113627.SH,603877.SH,20.88,20270715,20210806,太平转债,100.0
110081.SH,600745.SH,43.6,20270728,20210820,闻泰转债,100.0
123121.SZ,300776.SZ,73.56,20270805,20210827,帝尔转债,100.0
123122.SZ,300613.SZ,91.69,20270806,20210824,富瀚转债,100.0
127042.SZ,002969.SZ,4.55,20270809,20210908,嘉美转债,100.0
123124.SZ,300655.SZ,16.69,20270816,20210907,晶瑞转2,100.0
127045.SZ,002714.SZ,43.8,20270816,20210910,牧原转债,100.0
127044.SZ,002918.SZ,19.84,20270816,20210916,蒙娜转债,100.0
123126.SZ,300243.SZ,11.64,20270910,20211018,瑞丰转债,100.0
127046.SZ,002568.SZ,46.68,20270929,20211103,百润转债,100.0
127047.SZ,002798.SZ,5.1,20271025,20211126,帝欧转债,100.0
110082.SH,600885.SH,22.72,20271028,20211123,宏发转债,100.0
123128.SZ,300483.SZ,12.15,20271101,20211118,首华转债,100.0
127049.SZ,000876.SZ,10.59,20271102,20211129,希望转2,100.0
123129.SZ,300798.SZ,7.92,20271104,20211124,锦鸡转债,100.0
113631.SH,603689.SH,6.81,20271108,20211210,皖天转债,100.0
111001.SH,605006.SH,11.18,20271108,20211206,山玻转债,100.0
127050.SZ,002984.SZ,19.36,20271111,20211206,麒麟转债,100.0
113632.SH,603733.SH,18.99,20271117,20211209,鹤21转债,100.0
118003.SH,688001.SH,26.22,20271129,20211220,华兴转债,100.0
113633.SH,603486.SH,173.8,20271130,20211229,科沃转债,100.0
123131.SZ,300738.SZ,10.06,20271203,20211222,奥飞转债,100.0
113634.SH,603605.SH,95.46,20271208,20220104,珀莱转债,100.0
111002.SH,605007.SH,13.65,20271208,20211230,特纸转债,100.0
113636.SH,603995.SH,26.74,20271213,20211231,甬金转债,100.0
123133.SZ,300673.SZ,17.57,20271222,20220121,佩蒂转债,100.0
110084.SH,600903.SH,7.11,20271227,20220118,贵燃转债,100.0
113052.SH,601166.SH,20.63,20271227,20220114,兴业转债,100.0
113638.SH,603055.SH,16.19,20271229,20220121,台21转债,100.0
118004.SH,688166.SH,34.74,20280104,20220127,博瑞转债,100.0
113053.SH,601012.SH,17.5,20280105,20220217,隆22转债,100.0
113639.SH,603186.SH,38.51,20280124,20220222,华正转债,100.0
127053.SZ,002988.SZ,17.23,20280124,20220304,豪美转债,100.0
118005.SH,688116.SH,99.09,20280127,20220301,天奈转债,100.0
127054.SZ,002381.SZ,7.06,20280211,20220315,双箭转债,100.0
113640.SH,603585.SH,17.2,20280216,20220310,苏利转债,100.0
127055.SZ,002989.SZ,18.5,20280222,20220324,精装转债,100.0
110085.SH,600438.SH,34.6,20280224,20220318,通22转债,100.0
113054.SH,601330.SH,8.89,20280225,20220323,绿动转债,100.0
127056.SZ,000708.SZ,22.23,20280225,20220415,中特转债,100.0
123138.SZ,300556.SZ,26.53,20280302,20220322,丝路转债,100.0
111003.SH,605166.SH,11.37,20280307,20220419,聚合转债,100.0
118006.SH,688179.SH,13.32,20280315,20220412,阿拉转债,100.0
123142.SZ,300853.SZ,33.71,20280318,20220411,申昊转债,100.0
118007.SH,688030.SH,16.5,20280322,20220421,山石转债,100.0
113056.SH,601963.SH,9.5,20280323,20220414,重银转债,100.0
113643.SH,603466.SH,11.82,20280325,20220422,风语转债,100.0
113058.SH,601686.SH,4.48,20280330,20220426,友发转债,100.0
111004.SH,605068.SH,24.41,20280330,20220425,明新转债,100.0
127059.SZ,002753.SZ,8.16,20280408,20220516,永东转2,100.0
123144.SZ,300305.SZ,8.5,20280411,20220427,裕兴转债,100.0
113646.SH,603058.SH,8.05,20280414,20220517,永吉转债,100.0
113644.SH,603638.SH,18.65,20280415,20220512,艾迪转债,100.0
127060.SZ,002982.SZ,21.13,20280419,20220610,湘佳转债,100.0
