trade_date,ts_code,close,vol,amount,pct_chg,pre_close,open,high,low
20251125,118032.SH,123.236,9099.0,1122.006,0.1976,122.993,123.185,123.548,122.903
20251125,113636.SH,123.239,10644.0,1314.2895,-0.2041,123.491,123.696,123.9,123.05
20251125,123216.SZ,123.324,31086.0,3839.6554,0.0763,123.23,123.279,124.0,122.95
20251125,123150.SZ,123.563,10796.0,1333.9702,0.2418,123.265,123.447,123.886,122.899
20251125,123182.SZ,123.716,20661.7,2562.3234,-0.1485,123.9,123.903,124.658,123.664
20251125,123113.SZ,123.738,7149.8,885.6405,0.1927,123.5,123.569,124.088,123.201
20251125,123104.SZ,123.747,47793.2,5934.7238,0.2122,123.485,123.599,124.605,123.598
20251125,110085.SH,123.826,110125.0,13689.3059,-0.4254,124.355,124.355,125.078,123.588
20251125,113625.SH,123.833,12627.0,1565.1224,0.1148,123.691,123.728,124.299,123.597
20251125,113693.SH,124.131,25768.0,3199.2018,0.2423,123.831,123.961,124.541,123.74
20251125,123180.SZ,124.137,8866.0,1100.6055,0.4328,123.602,124.044,124.665,123.707
20251125,113052.SH,124.151,378347.0,46952.3979,0.0492,124.09,124.1,124.35,123.833
20251125,127044.SZ,124.174,15238.0,1892.5011,0.3499,123.741,123.64,124.882,123.64
20251125,127102.SZ,124.186,24663.3,3069.0891,-0.3962,124.68,124.799,125.048,123.917
20251125,123155.SZ,124.395,9588.0,1192.6562,0.2805,124.047,123.947,124.66,123.909
20251125,123214.SZ,124.488,31532.6,3927.7722,0.6867,123.639,123.639,125.61,123.539
20251125,123065.SZ,124.524,3601.0,448.4532,0.1568,124.329,124.329,124.9,124.22
20251125,123250.SZ,124.542,7147.0,890.0301,0.3748,124.077,124.086,124.97,124.074
20251125,110087.SH,124.546,72846.0,9097.1509,0.3012,124.172,124.172,125.536,124.171
20251125,127034.SZ,124.638,9038.0,1128.352,0.0787,124.54,124.655,125.163,124.34
20251125,127041.SZ,124.714,12983.4,1620.4667,0.2081,124.455,124.405,125.196,124.358
20251125,110086.SH,124.723,37647.0,4699.3503,0.735,123.813,124.013,125.305,123.69
20251125,127088.SZ,124.804,12487.3,1557.4767,0.5187,124.16,124.16,125.26,124.16
20251125,127080.SZ,124.887,4036.0,504.3807,-0.0896,124.999,125.02,125.351,124.723
20251125,123109.SZ,125.048,8992.4,1126.4604,-0.044,125.103,125.103,125.71,124.723
20251125,123165.SZ,125.055,21196.9,2658.4014,-0.0679,125.14,125.141,125.856,124.878
20251125,118005.SH,125.182,17346.0,2167.0451,0.6464,124.378,124.295,125.418,124.294
20251125,123171.SZ,125.246,14209.0,1777.2128,0.9983,124.008,124.751,125.405,124.45
20251125,113616.SH,125.4,22356.0,2812.409,-0.004,125.405,126.0,126.275,125.3
20251125,110095.SH,125.456,50195.0,6314.6481,0.2621,125.128,125.138,126.29,125.138
20251125,111002.SH,125.5,9114.0,1145.2995,-0.1249,125.657,125.657,126.18,125.382
20251125,113666.SH,125.604,38241.0,4805.1096,0.4037,125.099,124.701,126.051,124.7
20251125,113682.SH,125.777,12223.0,1540.0837,0.2447,125.47,125.48,126.634,125.373
20251125,123168.SZ,125.9,32587.0,4104.0454,0.1169,125.753,125.877,126.419,125.4
20251125,123071.SZ,125.903,19198.1,2417.195,0.2396,125.602,125.414,126.64,125.369
20251125,111015.SH,125.999,40118.0,5059.6614,0.7057,125.116,125.603,126.85,125.038
20251125,118008.SH,126.149,46329.0,5875.7558,-0.9042,127.3,127.3,127.847,126.014
20251125,110084.SH,126.16,38163.0,4827.249,0.0174,126.138,126.26,126.93,126.0
20251125,111001.SH,126.279,5502.0,694.6153,0.2214,126.0,126.011,126.594,125.737
20251125,123197.SZ,126.343,15612.4,1977.3195,-0.0846,126.45,126.699,127.046,126.109
20251125,110098.SH,126.455,21175.0,2686.8329,-0.1161,126.602,126.65,127.396,126.37
20251125,123252.SZ,126.504,34996.4,4437.2373,0.2409,126.2,126.158,127.462,126.1
20251125,123193.SZ,126.691,14535.9,1840.2217,0.4902,126.073,125.818,126.955,125.817
20251125,113070.SH,126.724,24025.0,3054.654,-0.3099,127.118,127.08,127.4,126.69
20251125,113634.SH,126.75,15257.0,1937.1561,-0.3083,127.142,127.176,127.361,126.655
20251125,113056.SH,126.755,206234.0,26170.4068,0.162,126.55,126.695,127.167,126.45
20251125,123192.SZ,126.9,55558.0,7043.7374,0.0394,126.85,126.847,127.288,126.13
20251125,113042.SH,126.927,176964.0,22490.8066,0.0591,126.852,126.902,127.495,126.642
20251125,127069.SZ,127.0,9518.0,1210.4982,0.1806,126.771,126.904,127.494,126.76
20251125,113067.SH,127.048,31041.0,3933.2309,0.6321,126.25,126.25,127.235,126.25
20251125,123172.SZ,127.1,76978.7,9802.0999,1.3678,125.385,125.8,128.257,125.385
20251125,113652.SH,127.247,33950.0,4325.6162,0.4206,126.714,126.615,128.1,126.517
20251125,123091.SZ,127.27,18885.7,2410.9863,0.5292,126.6,126.6,128.36,126.599
20251125,128125.SZ,127.465,30389.0,3878.8471,0.1398,127.287,127.236,128.084,127.113
20251125,118033.SH,127.5,12685.0,1621.0559,0.176,127.276,127.2,128.233,127.2
20251125,118011.SH,127.532,9504.0,1214.5825,0.0926,127.414,127.498,128.256,127.382
20251125,113659.SH,127.607,45185.0,5785.6527,-0.1807,127.838,127.914,128.586,127.3
20251125,118040.SH,127.669,17705.0,2272.2273,-0.4794,128.284,128.0,129.155,127.589
20251125,127090.SZ,127.69,31567.4,4070.2795,0.4326,127.14,127.15,129.695,127.1
20251125,123194.SZ,127.828,20769.0,2665.3151,-0.0469,127.888,127.9,128.942,127.606
20251125,113605.SH,127.899,51652.0,6592.8254,1.0325,126.592,126.814,128.1,126.3
20251125,123183.SZ,127.972,32264.0,4146.3558,-0.1755,128.197,128.325,129.1,127.857
20251125,127075.SZ,128.025,69058.6,8861.0065,0.1525,127.83,127.72,129.5,127.701
20251125,113610.SH,128.174,8878.0,1137.5964,0.0476,128.113,128.089,128.554,127.5
20251125,127089.SZ,128.49,202364.9,26024.8295,0.0927,128.371,128.25,129.199,128.239
20251125,113674.SH,128.493,11392.0,1464.5065,0.0576,128.419,128.496,129.0,128.237
20251125,111010.SH,128.578,53260.0,6854.9072,0.9817,127.328,127.55,129.68,127.55
20251125,127054.SZ,128.65,15888.8,2043.4971,0.2134,128.376,128.569,129.079,127.836
20251125,118037.SH,128.81,10791.0,1392.2957,0.059,128.734,128.754,129.445,128.577
20251125,123072.SZ,128.829,4785.0,617.3209,0.1648,128.617,128.986,129.386,128.768
20251125,127059.SZ,128.853,50019.0,6473.9544,-0.2215,129.139,129.139,130.38,128.563
20251125,111021.SH,128.971,18684.0,2414.3753,0.4392,128.407,128.387,129.738,128.34
20251125,123138.SZ,128.984,16055.0,2082.99,-0.1432,129.169,129.189,130.069,128.984
20251125,118053.SH,128.991,40399.0,5226.7342,-0.0062,128.999,129.156,130.319,128.756
20251125,113658.SH,129.011,40688.0,5268.8936,-0.4998,129.659,129.7,130.161,128.79
20251125,113692.SH,129.055,43211.0,5599.6375,-0.1717,129.277,129.413,130.2,128.5
20251125,110082.SH,129.108,226772.0,29458.816,0.349,128.659,128.4,131.58,127.754
20251125,127038.SZ,129.328,34840.7,4514.7344,1.0083,128.037,128.459,130.5,128.3
20251125,113661.SH,129.467,74125.0,9618.5964,-0.0494,129.531,129.791,130.633,128.963
20251125,127026.SZ,129.685,29632.0,3852.3352,0.4765,129.07,129.11,130.52,129.11
20251125,127031.SZ,129.694,44473.5,5784.6474,-0.7348,130.654,130.52,131.6,129.4
20251125,118041.SH,129.822,13424.0,1747.8051,-0.1669,130.039,130.1,131.0,129.7
20251125,123229.SZ,129.827,4077.5,529.3188,0.4418,129.256,129.425,130.088,129.256
20251125,113656.SH,129.837,57775.0,7504.9756,0.0401,129.785,129.98,130.618,129.241
20251125,110093.SH,129.906,62726.0,8172.4333,0.2864,129.535,129.7,130.657,129.7
20251125,123196.SZ,130.018,23031.0,2987.8044,0.8056,128.979,129.108,130.05,128.979
20251125,113062.SH,130.102,108619.0,14153.4372,0.3757,129.615,129.715,130.695,129.592
