trade_date,heavy_nav,light_nav,relative_strength,rs_ma20,rs_ma60
2025-10-01,103.16363350283433,108.82333417671568,94.79918464482012,96.03451169689768,
2025-10-02,103.22186461689373,108.65932870016373,94.99586078037144,95.90078430484255,
2025-10-03,103.7441615728525,108.64471927721873,95.48937331057765,95.82718668025561,
2025-10-06,104.22759790044151,109.04980305339829,95.57797903532618,95.78435881977198,
2025-10-07,104.13554872081949,108.30322259297655,96.15184684963627,95.79791029540385,
2025-10-08,104.5319324849824,108.80039806440477,96.07679231385198,95.74118445113662,
2025-10-09,103.35337427090528,108.40105927621164,95.3435095201011,95.67124367718061,
2025-10-10,101.37457510888093,105.64941308294158,95.95375132779525,95.65656530326197,
2025-10-13,102.59472602402799,107.10195173046444,95.79164932700812,95.66716832593418,
2025-10-14,103.38528535157006,107.06545483865216,96.5626919601396,95.72364608821681,
2025-10-15,103.48715103487332,107.60260458941329,96.17532161954296,95.7559037667614,
2025-10-16,102.51968343361995,107.02707739465507,95.78854802844478,95.77747182724946,
2025-10-17,102.61551615862436,107.66719174004025,95.308064137483,95.80099752370901,
2025-10-20,103.49763288612932,108.77721308416537,95.14642814580016,95.81174373466801,
2025-10-21,103.3012757654078,109.28625918146773,94.52357189194116,95.74719757375641,
2025-10-22,103.16034201456962,108.72060040775537,94.88573612329948,95.68344274965725,
2025-10-23,104.1267711330939,109.11007523135214,95.43277365752716,95.62829485242642,
2025-10-24,104.08182006308522,109.52288576580831,95.0320285439176,95.54271350109208,
2025-10-27,104.35407253693636,110.87349368880581,94.11994613413388,95.44135392036853,
2025-10-28,103.49007950092432,110.84172393842103,93.36743946568265,95.32612484087004,
2025-10-29,103.23128697361837,110.45996860553538,93.45583588047954,95.258957402653,
2025-10-30,102.55118364065943,109.08471405257507,94.01059033003772,95.20969388013631,
2025-10-31,102.47376965073371,109.94305827606894,93.20622079969823,95.09553625459235,
2025-11-03,102.22143091178249,110.05901868872108,92.87874099704126,94.9605743526781,96.45869987542922
2025-11-04,101.42256899173682,108.8070809097971,93.21320647855433,94.81364233412401,96.35349789806244
2025-11-05,101.7463111620267,109.50023323031344,92.9188077143381,94.6557431041483,96.2513458157306
2025-11-06,101.65614043624858,108.11902182298756,94.02243816326788,94.58968953630665,96.16807723510497
2025-11-07,102.81958508348185,108.03509515411017,95.17239276441745,94.55062160813775,96.11642581693805
2025-11-10,103.43932891818768,109.58032797696062,94.39589279193973,94.48083378138433,96.05883597394725
2025-11-11,104.0756308822331,110.27579522280975,94.37758365011165,94.37157836588294,96.00505500997699
2025-11-12,103.9790529234549,110.41010644572955,94.17530357564165,94.27157746368786,95.93327090166105
2025-11-13,103.1051358791815,108.61967201387522,94.92307789882732,94.22830395720699,95.86416315938668
